Date,Open,High,Low,Close,Adj Close,Volume
31-07-2018,675,685.025024,667.5,682.5,664.84436,5726144
01-08-2018,682.924988,684,675.5,676.875,659.364807,2352322
02-08-2018,677.549988,683.224976,675.549988,677.700012,660.168457,139232
03-08-2018,680,683.200012,678.200012,682.049988,664.405945,3163640
06-08-2018,682.5,687.900024,674.025024,680.400024,662.798645,219604
07-08-2018,683.5,688.775024,680.924988,684.700012,666.987427,285450
08-08-2018,684.049988,687.075012,677.150024,681.450012,663.821472,127290
09-08-2018,683.025024,694.900024,683.025024,690.150024,672.296387,316758
10-08-2018,691.150024,694.450012,686.775024,692.599976,674.682983,122946
13-08-2018,692.5,705.5,689.900024,704.724976,686.494385,562436
14-08-2018,705.174988,712,701.700012,704.375,686.153442,242610
16-08-2018,705.625,717.349976,705.625,712.650024,694.214417,254296
17-08-2018,716.424988,718.325012,711.724976,715.674988,697.161133,181322
20-08-2018,694.349976,704,686.775024,692.599976,674.682983,1038672
21-08-2018,693.049988,697,687.125,692.150024,674.24469,501664
23-08-2018,694.150024,701.325012,693.174988,699.599976,681.501892,205488
24-08-2018,696.275024,701.5,688,689.974976,672.125916,1123256
27-08-2018,691.674988,709.450012,691.674988,707.450012,689.148865,271808
28-08-2018,708,719.25,706.150024,712.174988,693.751648,320148
29-08-2018,717.5,717.849976,703,705.174988,686.932678,437338
30-08-2018,705.5,711.5,698.5,708.75,690.415222,490422
31-08-2018,711,726.5,711,720,701.374207,4246466
03-09-2018,729,733.5,715,716.724976,698.183899,1256342
04-09-2018,723.700012,748.349976,717,735.650024,716.619446,832961
05-09-2018,741.75,748.450012,726.349976,729.799988,710.920654,625030
06-09-2018,734.5,735,725,727.950012,709.11853,246579
07-09-2018,733.049988,737,724.75,733.150024,714.184082,353724
10-09-2018,737,746.5,729.650024,731.950012,713.015076,312641
11-09-2018,734.299988,744.150024,732.549988,734.25,715.255615,465074
12-09-2018,743,745.75,736.25,742.700012,723.487,285153
14-09-2018,742.5,744,730.150024,735.200012,716.18103,374118
17-09-2018,736.400024,740,725.099976,726.549988,707.754761,292264
18-09-2018,732,732,716.799988,719.150024,700.546204,202211
19-09-2018,725,727.400024,714.950012,720.400024,701.763916,151490
21-09-2018,719,719,692,706.299988,688.028625,773924
24-09-2018,709,729.950012,705.5,717.299988,698.744019,749018
25-09-2018,720,735.799988,717.349976,726.5,707.706055,359507
26-09-2018,738,738,712.400024,717.799988,699.23114,282597
27-09-2018,719.5,730.650024,718.049988,724.150024,705.416931,804565
28-09-2018,720,734,715.799988,727.849976,709.021118,506489
01-10-2018,735.099976,754.950012,733.400024,744.450012,725.191772,3761334
03-10-2018,744.700012,751.950012,726.549988,727.849976,709.021118,292087
04-10-2018,728,729,702.900024,706.349976,688.077271,403889
05-10-2018,711,731.25,709,721.849976,703.176331,399124
08-10-2018,725.049988,728.5,710.349976,714.5,696.016541,228274
09-10-2018,716,726,703.099976,717.349976,698.792725,437278
10-10-2018,718.150024,720,695.400024,700.299988,682.183838,1078764
11-10-2018,689.900024,691.75,665.25,675,657.53833,680373
12-10-2018,677,690,662.599976,679.049988,661.483582,422848
15-10-2018,690,705.799988,681.650024,699.099976,681.014832,443802
16-10-2018,709,713.75,688.099976,696.400024,678.384766,774209
17-10-2018,707,721,701.25,704.5,686.275208,1145997
19-10-2018,689.799988,689.799988,678.5,682.599976,664.941711,821154
22-10-2018,691,705,674.099976,678.25,660.704224,462086
23-10-2018,679,681.650024,654.650024,657.849976,640.83197,533828
24-10-2018,663.049988,666.450012,647.900024,650.150024,633.331238,1825795
25-10-2018,643,655.75,636.049988,649.299988,632.503174,373386
26-10-2018,645.099976,649.849976,630,633.5,617.111877,397563
29-10-2018,633,650,631.700012,643.799988,627.145447,478683
30-10-2018,640,663,638,659.75,642.6828,415852
31-10-2018,665,693.150024,662.049988,686.25,668.497314,582754
01-11-2018,693.900024,693.900024,660.099976,666.349976,649.112061,349193
02-11-2018,668.099976,675.299988,660.5,662.049988,644.92334,533579
05-11-2018,663,666.900024,657.049988,662.75,645.605225,372745
06-11-2018,669,675.099976,662.099976,666.799988,649.550476,785263
07-11-2018,674.450012,678,671.75,676,658.512451,84376
09-11-2018,677.200012,679.450012,657.400024,661.450012,644.338867,394045
12-11-2018,666,676.400024,662.549988,664.450012,647.261292,308091
13-11-2018,666,667.700012,656.950012,665.700012,648.478943,171252
14-11-2018,669,669,640.25,653.450012,636.545837,1119117
15-11-2018,653.450012,665.950012,647.25,656.349976,639.370728,920461
16-11-2018,664,664,644.400024,650.450012,633.623413,851972
19-11-2018,655,662,649.400024,651.799988,634.938477,436161
20-11-2018,648.549988,655,639.650024,641.099976,624.515259,290896
21-11-2018,642,642.049988,612.200012,620.950012,604.886597,1687076
22-11-2018,623.900024,628.5,617.650024,620.450012,604.399475,477899
26-11-2018,623.5,627.75,600.650024,621.299988,605.227539,628314
27-11-2018,627,640,625.549988,637,620.521362,773589
28-11-2018,643,668.25,640.099976,666.349976,649.112061,1150990
29-11-2018,672,675,659,659.599976,642.536682,1489912
30-11-2018,663,671.950012,661,666.5,649.25824,504992
03-12-2018,670.5,678.5,666.299988,669.849976,652.521484,463557
04-12-2018,673.900024,688.400024,671.400024,684.450012,666.743835,463485
05-12-2018,682.200012,684,673.200012,681.450012,663.821472,494434
06-12-2018,675.299988,685.200012,664.5,668.200012,650.914246,598535
07-12-2018,670.5,685,666.5,681.049988,663.431824,468211
10-12-2018,678,683.049988,665.700012,667.799988,650.524536,302526
11-12-2018,665.150024,681.200012,660.950012,674.25,656.807678,398365
12-12-2018,674.950012,680,671,678.700012,661.142639,345321
13-12-2018,679.25,698.799988,679.25,696.5,678.482117,365946
14-12-2018,695.150024,713,693.5,705.599976,687.34668,482934
17-12-2018,713,714,692.099976,693.549988,675.608459,612157
18-12-2018,694,694,675,676.349976,658.853394,1040768
19-12-2018,673,673,661.75,665.25,648.040527,940615
20-12-2018,662.700012,671.450012,657,666.849976,649.599121,579639
21-12-2018,660.700012,660.700012,643.799988,645.75,629.044983,981311
24-12-2018,658,658.799988,648,649.049988,632.259644,579592
26-12-2018,648.900024,650,637.700012,644.599976,627.924744,440867
27-12-2018,652.099976,663.25,649.299988,657.349976,640.34491,512892
28-12-2018,662.799988,663.900024,656,657.599976,640.588379,288729
31-12-2018,659,662.150024,656.099976,659.849976,642.780273,268693
01-01-2019,661,667,654.299988,664.650024,647.456116,221951
02-01-2019,668,673.700012,662.450012,669.299988,651.985718,419594
03-01-2019,670.900024,677,663.799988,667.549988,650.281067,355183
04-01-2019,671.099976,674,651.150024,660.75,643.656982,532339
07-01-2019,666.950012,682.799988,662.349976,671.150024,653.787903,675873
08-01-2019,673.049988,677.450012,668.200012,669.849976,652.521484,528366
09-01-2019,684.900024,689.799988,664.549988,675.849976,658.366272,1401279
10-01-2019,681.150024,682,672.650024,679.75,662.165466,591859
11-01-2019,683.900024,686,672.799988,683.700012,666.013245,965600
14-01-2019,706,709,695.700012,700.900024,682.768311,1900868
15-01-2019,705.099976,729.799988,705.099976,726.549988,707.754761,907834
16-01-2019,729,737.650024,729,736.549988,717.496033,570874
17-01-2019,736.450012,738.650024,728.75,733.400024,714.427551,284316
18-01-2019,731.950012,736,726.5,731,712.089661,203144
21-01-2019,733,750.700012,733,742.75,723.535645,439700
22-01-2019,740.650024,747.200012,733.849976,744.349976,725.094299,241180
23-01-2019,743.25,743.25,729.049988,731.450012,712.528076,250110
24-01-2019,729.5,739,721.400024,732.799988,713.843079,185362
25-01-2019,728.700012,737.400024,725,730.200012,711.310364,176637
28-01-2019,732.900024,733.849976,719.049988,728.200012,709.362122,500333
29-01-2019,728.200012,730.349976,716.549988,727.349976,708.534058,618662
30-01-2019,727.349976,734.650024,720.599976,724.849976,706.098694,653889
31-01-2019,728,751,727.049988,749.599976,730.208496,1128305
01-02-2019,753.799988,761.799988,745,756.549988,736.978699,374496
04-02-2019,755,762,747.849976,755.650024,736.10199,329744
05-02-2019,751,760,748.549988,754.25,734.738159,272873
